infections,dead,recovered,infected
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,2
2,0,0,2
2,0,0,2
4,0,0,4
6,0,0,6
6,0,0,6
9,0,0,9
12,0,0,12
14,0,0,14
16,0,0,16
19,0,1,19
20,0,1,20
20,0,1,20
28,0,2,27
29,0,2,27
32,0,3,30
35,0,6,33
40,0,6,38
45,0,8,40
50,0,10,45
54,0,12,48
61,0,16,52
67,0,17,55
71,0,20,57
76,0,20,61
80,0,24,63
88,0,29,67
93,0,32,70
104,0,33,77
112,0,37,83
119,2,42,86
129,2,45,93
142,3,51,102
155,3,55,106
161,4,63,110
172,4,64,117
183,4,71,122
203,5,75,138
210,5,78,141
222,7,83,147
232,7,90,156
245,7,101,161
259,7,108,168
277,8,117,174
284,10,126,180
301,11,139,192
318,12,146,201
336,13,155,210
354,13,164,219
365,15,176,226
386,16,191,239
399,18,197,243
407,18,210,247
418,19,216,254
431,19,231,259
443,19,249,263
453,20,262,265
463,20,272,271
471,22,287,275
476,25,305,278
483,25,319,281
495,26,333,288
499,28,348,291
507,30,363,296
508,31,373,296
518,31,384,305
520,32,389,307
523,33,404,308
532,35,414,316
536,35,425,319
540,35,433,322
547,35,440,328
548,35,443,328
553,35,455,333
555,37,460,335
559,37,464,338
563,38,469,342
570,38,474,347
577,38,482,353
577,38,483,353
580,38,489,355
584,40,495,358
586,40,499,359
590,40,503,360
591,40,507,361
592,40,511,362
592,40,513,362
596,41,516,363
596,41,521,363
597,43,524,364
597,43,530,364
600,43,534,366
601,43,535,367
601,43,538,367
602,44,542,368
603,44,543,369
604,44,547,369
605,44,547,370
606,44,548,371
606,44,549,371
608,45,551,373
608,45,552,373
609,45,552,374
611,45,552,375
612,45,555,376
613,45,556,377
613,45,557,377
613,45,557,377
614,46,557,377
616,46,559,378
616,46,559,378
616,46,560,378
616,46,562,378
618,46,562,378
618,46,563,378
618,46,564,378
618,46,566,378
618,46,567,378
618,46,567,378
618,46,567,378
618,46,567,378
618,46,569,378
618,46,570,378
618,46,570,378
618,46,570,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
618,46,572,378
