infections,dead,recovered,infected
1,0,0,1
1,0,0,1
1,0,0,1
3,0,0,3
4,0,0,4
6,0,0,6
7,0,0,7
9,0,0,9
12,0,0,12
13,0,0,13
14,0,0,14
18,0,0,18
18,0,0,18
19,0,1,18
22,0,1,21
25,0,2,24
29,0,3,27
35,0,5,32
39,0,7,32
43,0,8,35
49,0,10,41
53,0,13,43
60,0,14,48
64,0,15,51
68,0,18,54
75,0,18,60
80,0,21,62
90,0,23,71
100,1,27,78
108,1,31,82
117,1,35,89
124,1,38,94
137,2,43,101
144,3,48,106
161,3,54,117
172,4,59,123
178,4,60,127
190,5,68,134
203,5,73,141
218,5,81,149
235,6,92,157
253,6,97,167
263,6,109,172
278,6,114,179
299,6,124,186
313,7,133,195
328,7,148,202
346,9,156,214
376,11,162,229
392,12,171,241
408,15,181,248
433,18,194,261
459,18,212,273
480,18,224,283
499,19,240,290
521,19,247,304
538,19,270,309
555,19,287,318
566,19,304,323
588,20,322,331
600,23,342,337
616,24,358,341
628,25,375,346
644,25,390,352
654,26,419,354
667,26,446,360
674,28,461,360
680,30,481,362
688,32,496,364
693,33,512,367
696,33,529,368
699,33,542,370
702,34,561,370
705,37,572,372
707,39,584,373
709,41,596,375
711,41,607,377
716,43,615,381
717,45,627,381
727,45,630,390
730,47,634,392
736,49,642,397
739,49,646,399
748,49,647,407
751,50,651,410
756,50,653,414
758,50,656,416
760,51,657,417
760,51,658,417
767,52,663,423
769,53,664,424
775,54,665,429
